"ISSN","COLOUR","DOI","URL","FOUND"
"2211-3835","green","10.1016/j.apsb.2015.06.004","http://europepmc.org/articles/PMC4629439","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.06.005","http://europepmc.org/articles/PMC4629440","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.003","http://europepmc.org/articles/PMC4629443","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.001","http://europepmc.org/articles/PMC4629442","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.009","http://europepmc.org/articles/PMC4629437","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.006","http://europepmc.org/articles/PMC4629447","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.005","http://europepmc.org/articles/PMC4629446","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.003","http://europepmc.org/articles/PMC4629282","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.010","http://europepmc.org/articles/PMC4629269","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.02.004","http://europepmc.org/articles/PMC4629277","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.008","http://europepmc.org/articles/PMC4675810","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.08.001","http://europepmc.org/articles/PMC4675809","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.007","http://europepmc.org/articles/PMC4675808","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.006","http://europepmc.org/articles/PMC4675819","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.05.004","http://europepmc.org/articles/PMC4675807","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.001","http://europepmc.org/articles/PMC4675811","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.07.010","http://europepmc.org/articles/PMC4675812","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.003","http://europepmc.org/articles/PMC4675816","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.005","http://europepmc.org/articles/PMC4675814","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.002","http://europepmc.org/articles/PMC4675815","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.09.004","http://europepmc.org/articles/PMC4675821","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.002","http://europepmc.org/articles/PMC4590300","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.01.001","http://europepmc.org/articles/PMC4590302","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.001","http://europepmc.org/articles/PMC4590726","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.004","http://europepmc.org/articles/PMC4590723","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.008","http://europepmc.org/articles/PMC4590298","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.005","http://europepmc.org/articles/PMC4590297","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.007","http://europepmc.org/articles/PMC4590296","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.002","http://europepmc.org/articles/PMC4590727","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.001","http://europepmc.org/articles/PMC4590304","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.007","http://europepmc.org/articles/PMC4590293","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.006","http://europepmc.org/articles/PMC4629065","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.02.003","http://europepmc.org/articles/PMC4629066","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.03.001","http://europepmc.org/articles/PMC4629063","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.03.002","http://europepmc.org/articles/PMC4629064","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.04.001","http://europepmc.org/articles/PMC4629068","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.04.002","http://europepmc.org/articles/PMC4629076","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.04.003","http://europepmc.org/articles/PMC4629067","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.008","http://europepmc.org/articles/PMC4629212","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.11.002","http://europepmc.org/articles/PMC4629119","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.007","http://europepmc.org/articles/PMC4629211","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.006","http://europepmc.org/articles/PMC4629210","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.11.001","http://europepmc.org/articles/PMC4629120","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.005","http://europepmc.org/articles/PMC4629208","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.003","http://europepmc.org/articles/PMC4629123","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.001","http://europepmc.org/articles/PMC4629209","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.002","http://europepmc.org/articles/PMC4629138","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.004","http://europepmc.org/articles/PMC4629207","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.003","http://europepmc.org/articles/PMC4629107","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.004","http://europepmc.org/articles/PMC4629111","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.006","http://europepmc.org/articles/PMC4629109","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.005","http://europepmc.org/articles/PMC4629108","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.002","http://europepmc.org/articles/PMC4629110","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.10.001","http://europepmc.org/articles/PMC4629106","europepmc"
"2211-3835","green","10.1016/j.apsb.2013.12.004","http://europepmc.org/articles/PMC4590295","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.002","http://europepmc.org/articles/PMC4629226","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.003","http://europepmc.org/articles/PMC4629227","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.03.004","http://europepmc.org/articles/PMC4629228","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.003","http://europepmc.org/articles/PMC4629216","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.006","http://europepmc.org/articles/PMC4629220","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.009","http://europepmc.org/articles/PMC4629213","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.009","http://europepmc.org/articles/PMC4629225","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.001","http://europepmc.org/articles/PMC4629214","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.005","http://europepmc.org/articles/PMC4629218","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.002","http://europepmc.org/articles/PMC4629215","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.004","http://europepmc.org/articles/PMC4629217","europepmc"
"2211-3835","green","10.1016/j.apsb.2015.01.007","http://europepmc.org/articles/PMC4629221","europepmc"
"2211-3835","green","10.1016/j.apsb.2014.12.011","http://europepmc.org/articles/PMC4629219","europepmc"
"0001-706X","green","10.1016/j.actatropica.2014.11.008","http://europepmc.org/articles/PMC4296692","europepmc"
"0001-706X","green","10.1016/j.actatropica.2015.05.007","http://europepmc.org/articles/PMC4644990","europepmc"
"0001-706X","green","10.1016/j.actatropica.2015.02.018","http://europepmc.org/articles/PMC4441730","europepmc"
"0001-706X","green","10.1016/j.actatropica.2013.09.025","http://europepmc.org/articles/PMC4008939","europepmc"
"0001-706X","green","10.1016/j.actatropica.2015.01.009","http://europepmc.org/articles/PMC4380135","europepmc"
"0306-4603","green","10.1016/j.addbeh.2014.03.009","http://europepmc.org/articles/PMC4003532","europepmc"
"0306-4603","green","10.1016/j.addbeh.2014.11.010","http://europepmc.org/articles/PMC4294420","europepmc"
"0306-4603","green","10.1016/j.addbeh.2015.01.026","http://europepmc.org/articles/PMC4376294","europepmc"
"0169-409X","green","10.1016/j.addr.2014.02.010","http://europepmc.org/articles/PMC4074676","europepmc"
"0169-409X","green","10.1016/j.addr.2014.01.002","http://europepmc.org/articles/PMC4076844","europepmc"
"2212-4926","green","10.1016/j.jbior.2014.09.007","http://europepmc.org/articles/PMC4359101","europepmc"
"2212-4926","green","10.1016/j.jbior.2013.08.006","http://europepmc.org/articles/PMC3946563","europepmc"
"1040-2608","green","10.1016/j.alcr.2014.01.005","http://europepmc.org/articles/PMC4477715","europepmc"
"1568-1637","green","10.1016/j.arr.2015.01.004","http://europepmc.org/articles/PMC4504031","europepmc"
"1568-1637","green","10.1016/j.arr.2014.01.004","http://europepmc.org/articles/PMC3989046","europepmc"
"0168-1923","green","10.1016/j.agrformet.2014.01.010","http://europepmc.org/articles/PMC3990433","europepmc"
"0167-8809","green","10.1016/j.agee.2013.10.032","http://europepmc.org/articles/PMC3990452","europepmc"
"1323-8930","yellow","10.1016/j.alit.2015.04.004","http://europepmc.org/articles/PMC4484772","europepmc"
"1552-5260","green","10.1016/j.jalz.2014.05.1749","http://europepmc.org/articles/PMC4240530","europepmc"
"1552-5260","green","10.1016/j.jalz.2014.04.005","http://europepmc.org/articles/PMC4392759","europepmc"
"1552-5260","green","10.1016/j.jalz.2014.04.003","http://europepmc.org/articles/PMC4255273","europepmc"
"1552-5260","green","10.1016/j.jalz.2015.06.1885","http://europepmc.org/articles/PMC4655106","europepmc"
"0002-8703","green","10.1016/j.ahj.2014.11.020","http://europepmc.org/articles/PMC4398501","europepmc"
"0002-8703","green","10.1016/j.ahj.2014.10.008","http://europepmc.org/articles/PMC4277294","europepmc"
"0002-8703","green","10.1016/j.ahj.2015.01.011","http://europepmc.org/articles/PMC4441104","europepmc"
"0002-8703","green","10.1016/j.ahj.2013.10.024","http://europepmc.org/articles/PMC3904213","europepmc"
"0002-8703","green","10.1016/j.ahj.2014.06.022","http://europepmc.org/articles/PMC4220017","europepmc"
"0272-6386","green","10.1053/j.ajkd.2013.12.013","http://europepmc.org/articles/PMC4068325","europepmc"
"0272-6386","green","10.1053/j.ajkd.2015.03.040","http://europepmc.org/articles/PMC4528072","europepmc"
"0272-6386","green","10.1053/j.ajkd.2014.11.027","http://europepmc.org/articles/PMC4510204","europepmc"
"0272-6386","green","10.1053/j.ajkd.2014.08.011","http://europepmc.org/articles/PMC4339698","europepmc"
"0272-6386","green","10.1053/j.ajkd.2015.07.021","http://europepmc.org/articles/PMC4685934","europepmc"
"0002-9378","green","10.1016/j.ajog.2013.10.879","http://europepmc.org/articles/PMC4046649","europepmc"
"0002-9378","green","10.1016/j.ajog.2014.08.005","http://europepmc.org/articles/PMC4342521","europepmc"
"0002-9394","green","10.1016/j.ajo.2015.08.032","http://europepmc.org/articles/PMC4653116","europepmc"
"0002-9394","green","10.1016/j.ajo.2014.09.020","http://europepmc.org/articles/PMC4265734","europepmc"
"0002-9394","green","10.1016/j.ajo.2014.07.036","http://europepmc.org/articles/PMC4389631","europepmc"
"0002-9394","green","10.1016/j.ajo.2015.02.020","http://europepmc.org/articles/PMC4430174","europepmc"
"0002-9394","green","10.1016/j.ajo.2015.05.008","http://europepmc.org/articles/PMC4518129","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.09.025","http://europepmc.org/articles/PMC4476642","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.07.008","http://europepmc.org/articles/PMC4568742","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.07.006","http://europepmc.org/articles/PMC4476383","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.07.007","http://europepmc.org/articles/PMC4469363","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.07.040","http://europepmc.org/articles/PMC4493902","europepmc"
"0749-3797","green","10.1016/j.amepre.2014.07.045","http://europepmc.org/articles/PMC4708056","europepmc"
"0749-3797","green","10.1016/j.amepre.2015.03.009","http://europepmc.org/articles/PMC4518501","europepmc"
"0749-3797","green","10.1016/j.amepre.2015.04.020","http://europepmc.org/articles/PMC4651322","europepmc"
"0749-3797","green","10.1016/j.amepre.2013.10.011","http://europepmc.org/articles/PMC3898870","europepmc"
"0003-2670","green","10.1016/j.aca.2014.06.032","http://europepmc.org/articles/PMC4223412","europepmc"
"0003-2670","green","10.1016/j.aca.2013.10.042","http://europepmc.org/articles/PMC3894717","europepmc"
"0003-2670","green","10.1016/j.aca.2014.05.043","http://europepmc.org/articles/PMC4150488","europepmc"
"0003-2697","green","10.1016/j.ab.2015.08.025","http://europepmc.org/articles/PMC4615133","europepmc"
"0003-2697","green","10.1016/j.ab.2014.03.004","http://europepmc.org/articles/PMC4007590","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.04.005","http://europepmc.org/articles/PMC4510205","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.06.008","http://europepmc.org/articles/PMC4550430","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.07.002","http://europepmc.org/articles/PMC4550429","europepmc"
"0003-3472","green","10.1016/j.anbehav.2015.01.016","http://europepmc.org/articles/PMC4370370","europepmc"
"0003-3472","green","10.1016/j.anbehav.2014.11.017","http://europepmc.org/articles/PMC4317197","europepmc"
"0003-3472","green","10.1016/j.anbehav.2014.12.022","http://europepmc.org/articles/PMC4344230","europepmc"
