"ISSN","COLOUR","DOI","AFFILIATIONS"
"1876-2859","green","10.1016/j.acap.2014.02.003",""
"1876-2859","green","10.1016/j.acap.2014.01.003",""
"1876-2859","green","10.1016/j.acap.2014.02.002",""
"1876-2859","green","10.1016/j.acap.2014.01.008",""
"1876-2859","green","10.1016/j.acap.2014.02.010",""
"1876-2859","green","10.1016/j.acap.2014.03.004",""
"1876-2859","green","10.1016/j.acap.2013.12.004",""
"1876-2859","green","10.1016/j.acap.2014.02.013",""
"1876-2859","green","10.1016/j.acap.2014.02.004",""
"1876-2859","green","10.1016/j.acap.2014.01.004",""
"1876-2859","green","10.1016/j.acap.2014.01.005",""
"1876-2859","green","10.1016/j.acap.2014.01.007",""
"1876-2859","green","10.1016/j.acap.2014.01.006",""
"1876-2859","green","10.1016/s1876-2859(14)00104-1",""
"1876-2859","green","10.1016/s1876-2859(14)00105-3",""
"1876-2859","green","10.1016/j.acap.2014.02.012",""
"1876-2859","green","10.1016/s1876-2859(15)00290-9",""
"1876-2859","green","10.1016/s1876-2859(15)00324-1",""
"1876-2859","green","10.1016/s1876-2859(15)00312-5",""
"1876-2859","green","10.1016/s1876-2859(15)00323-x",""
"1876-2859","green","10.1016/s1876-2859(15)00291-0",""
"1876-2859","green","10.1016/s1876-2859(15)00292-2",""
"1876-2859","green","10.1016/j.acap.2015.07.001",""
"1876-2859","green","10.1016/j.acap.2014.05.001",""
"1876-2859","green","10.1016/j.acap.2014.04.005",""
"1876-2859","green","10.1016/j.acap.2015.06.008",""
"1876-2859","green","10.1016/j.acap.2015.06.013",""
"1876-2859","green","10.1016/j.acap.2015.09.003",""
"1876-2859","green","10.1016/j.acap.2015.09.005",""
"1876-2859","green","10.1016/j.acap.2015.08.009",""
"1876-2859","green","10.1016/j.acap.2015.08.010",""
"1876-2859","green","10.1016/j.acap.2015.07.003",""
"1876-2859","green","10.1016/j.acap.2015.07.006",""
"1876-2859","green","10.1016/j.acap.2015.08.006",""
"1876-2859","green","10.1016/j.acap.2015.08.008",""
"1876-2859","green","10.1016/j.acap.2015.08.004",""
"1876-2859","green","10.1016/j.acap.2015.05.001",""
"1876-2859","green","10.1016/j.acap.2015.03.011",""
"1876-2859","green","10.1016/j.acap.2015.08.001",""
"1876-2859","green","10.1016/j.acap.2015.08.011",""
"1876-2859","green","10.1016/j.acap.2015.06.014",""
"1876-2859","green","10.1016/s1876-2859(15)00236-3",""
"1876-2859","green","10.1016/s1876-2859(15)00237-5",""
"1876-2859","green","10.1016/s1876-2859(15)00238-7",""
"1876-2859","green","10.1016/j.acap.2015.04.001",""
"1876-2859","green","10.1016/j.acap.2015.07.007",""
"1876-2859","green","10.1016/j.acap.2015.07.005",""
"1876-2859","green","10.1016/j.acap.2015.07.004",""
"1876-2859","green","10.1016/j.acap.2015.06.012",""
"1876-2859","green","10.1016/j.acap.2015.06.005",""
"1876-2859","green","10.1016/j.acap.2015.06.006",""
"1876-2859","green","10.1016/j.acap.2014.11.006",""
"1876-2859","green","10.1016/j.acap.2014.09.003",""
"1876-2859","green","10.1016/j.acap.2014.08.007",""
"1876-2859","green","10.1016/j.acap.2014.09.009",""
"1876-2859","green","10.1016/j.acap.2014.07.006",""
"1876-2859","green","10.1016/j.acap.2014.08.001",""
"1876-2859","green","10.1016/j.acap.2014.08.005",""
"1876-2859","green","10.1016/j.acap.2014.04.002",""
"1876-2859","green","10.1016/j.acap.2014.03.014",""
"1876-2859","green","10.1016/j.acap.2014.06.007",""
"1876-2859","green","10.1016/j.acap.2014.09.004",""
"1876-2859","green","10.1016/j.acap.2015.09.007",""
"1876-2859","green","10.1016/j.acap.2015.10.004",""
"1876-2859","green","10.1016/j.acap.2014.09.008",""
"1876-2859","green","10.1016/j.acap.2014.07.005",""
"1876-2859","green","10.1016/j.acap.2014.06.024",""
"1876-2859","green","10.1016/j.acap.2014.06.018",""
"1876-2859","green","10.1016/j.acap.2014.06.008",""
"1876-2859","green","10.1016/j.acap.2014.06.020",""
"1876-2859","green","10.1016/j.acap.2014.10.003",""
"1876-2859","green","10.1016/j.acap.2014.11.005",""
"1876-2859","green","10.1016/j.acap.2014.07.004",""
"1876-2859","green","10.1016/j.acap.2014.09.012",""
"1876-2859","green","10.1016/j.acap.2014.10.007",""
"1876-2859","green","10.1016/j.acap.2014.10.001",""
"1876-2859","green","10.1016/j.acap.2015.01.007",""
"1876-2859","green","10.1016/j.acap.2015.03.008",""
"1876-2859","green","10.1016/j.acap.2015.12.009",""
"1876-2859","green","10.1016/j.acap.2014.06.015",""
"1876-2859","green","10.1016/j.acap.2014.06.011",""
"1876-2859","green","10.1016/j.acap.2014.06.012",""
"1876-2859","green","10.1016/j.acap.2014.06.025",""
"1876-2859","green","10.1016/s1876-2859(14)00282-4",""
"1876-2859","green","10.1016/j.acap.2014.02.006",""
"1876-2859","green","10.1016/s1876-2859(14)00283-6",""
"1876-2859","green","10.1016/j.acap.2014.03.006",""
"1876-2859","green","10.1016/j.acap.2014.03.007",""
"1876-2859","green","10.1016/j.acap.2014.02.001",""
"1876-2859","green","10.1016/j.acap.2014.02.007",""
"1876-2859","green","10.1016/j.acap.2014.06.017",""
"1876-2859","green","10.1016/j.acap.2014.03.017",""
"1876-2859","green","10.1016/j.acap.2014.04.003",""
"1876-2859","green","10.1016/j.acap.2014.05.005",""
"1876-2859","green","10.1016/j.acap.2014.03.016",""
"1876-2859","green","10.1016/j.acap.2014.05.010",""
"1876-2859","green","10.1016/j.acap.2014.01.009",""
"1876-2859","green","10.1016/j.acap.2014.06.013",""
"1876-2859","green","10.1016/j.acap.2014.06.006",""
"1876-2859","green","10.1016/j.acap.2014.06.016",""
"1876-2859","green","10.1016/j.acap.2014.03.013",""
"1876-2859","green","10.1016/j.acap.2014.06.002",""
"1876-2859","green","10.1016/j.acap.2014.06.010",""
"1876-2859","green","10.1016/j.acap.2014.05.009",""
"1876-2859","green","10.1016/j.acap.2014.06.014",""
"1876-2859","green","10.1016/j.acap.2015.08.003",""
"1876-2859","green","10.1016/j.acap.2014.06.019",""
"1876-2859","green","10.1016/j.acap.2014.08.002",""
"1876-2859","green","10.1016/j.acap.2014.08.006",""
"1876-2859","green","10.1016/j.acap.2014.09.001",""
"1876-2859","green","10.1016/s1876-2859(15)00035-2",""
"1876-2859","green","10.1016/s1876-2859(15)00013-3",""
"1876-2859","green","10.1016/s1876-2859(15)00014-5",""
"1876-2859","green","10.1016/s1876-2859(15)00056-x",""
"1876-2859","green","10.1016/j.acap.2015.01.003",""
"1876-2859","green","10.1016/j.acap.2014.11.004",""
"1876-2859","green","10.1016/j.acap.2014.10.010",""
"1876-2859","green","10.1016/j.acap.2015.01.004",""
"1876-2859","green","10.1016/j.acap.2015.01.002",""
"1876-2859","green","10.1016/j.acap.2014.11.003",""
"1876-2859","green","10.1016/j.acap.2014.10.011",""
"1876-2859","green","10.1016/j.acap.2014.10.008",""
"1876-2859","green","10.1016/j.acap.2014.10.009",""
"1876-2859","green","10.1016/j.acap.2014.12.005",""
"1876-2859","green","10.1016/j.acap.2014.10.004",""
"1876-2859","green","10.1016/j.acap.2015.09.001",""
"1876-2859","green","10.1016/j.acap.2015.08.012",""
"1876-2859","green","10.1016/j.acap.2014.02.008",""
"1876-2859","green","10.1016/j.acap.2014.06.021",""
"1876-2859","green","10.1016/s1876-2859(14)00402-1",""
"1876-2859","green","10.1016/s1876-2859(14)00428-8",""
"1876-2859","green","10.1016/j.acap.2014.06.022",""
"1876-2859","green","10.1016/s1876-2859(14)00401-x",""
"1876-2859","green","10.1016/j.acap.2014.10.012",""
"1876-2859","green","10.1016/j.acap.2014.11.001",""
"1876-2859","green","10.1016/j.acap.2014.06.005",""
"1876-2859","green","10.1016/s1876-2859(14)00376-3",""
"1876-2859","green","10.1016/s1876-2859(14)00377-5",""
"1876-2859","green","10.1016/j.acap.2014.07.001",""
"1876-2859","green","10.1016/j.acap.2014.08.008",""
"1876-2859","green","10.1016/j.acap.2014.07.003",""
"1876-2859","green","10.1016/j.acap.2014.09.007",""
"1876-2859","green","10.1016/j.acap.2014.06.001",""
"1876-2859","green","10.1016/s1876-2859(14)00343-x",""
"1876-2859","green","10.1016/j.acap.2014.09.005",""
"1876-2859","green","10.1016/s1876-2859(14)00344-1",""
"1876-2859","green","10.1016/j.acap.2014.09.002",""
"1876-2859","green","10.1016/j.acap.2014.06.023",""
"1876-2859","green","10.1016/j.acap.2014.09.006",""
"1876-2859","green","10.1016/j.acap.2014.06.003",""
"1876-2859","green","10.1016/j.acap.2014.05.049",""
"1876-2859","green","10.1016/j.acap.2014.03.018",""
"1876-2859","green","10.1016/s1876-2859(14)00257-5",""
"1876-2859","green","10.1016/j.acap.2014.07.002",""
"1876-2859","green","10.1016/j.acap.2014.05.004",""
"1876-2859","green","10.1016/j.acap.2014.08.003",""
"1876-2859","green","10.1016/s1876-2859(14)00256-3",""
"1876-2859","green","10.1016/j.acap.2014.03.010",""
"1876-2859","green","10.1016/j.acap.2014.05.008",""
"1876-2859","green","10.1016/j.acap.2014.05.011",""
"1876-2859","green","10.1016/j.acap.2014.05.006",""
"1876-2859","green","10.1016/j.acap.2014.05.007",""
"1876-2859","green","10.1016/j.acap.2014.03.005",""
"1876-2859","green","10.1016/j.acap.2014.03.001",""
"1876-2859","green","10.1016/j.acap.2014.06.004",""
"1876-2859","green","10.1016/j.acap.2014.08.009",""
"1876-2859","green","10.1016/j.acap.2014.09.013",""
"1876-2859","green","10.1016/j.acap.2014.08.004",""
"1876-2859","green","10.1016/j.acap.2014.07.007",""
"1876-2859","green","10.1016/j.acap.2015.12.001",""
"1876-2859","green","10.1016/j.acap.2015.10.001",""
"1876-2859","green","10.1016/j.acap.2015.10.008",""
"1876-2859","green","10.1016/j.acap.2014.05.021",""
"1876-2859","green","10.1016/j.acap.2014.03.011",""
"1876-2859","green","10.1016/j.acap.2014.05.038",""
"1876-2859","green","10.1016/j.acap.2014.05.019",""
"1876-2859","green","10.1016/j.acap.2014.05.029",""
"1876-2859","green","10.1016/j.acap.2014.05.014",""
"1876-2859","green","10.1016/j.acap.2014.05.018",""
"1876-2859","green","10.1016/j.acap.2014.05.047",""
"1876-2859","green","10.1016/j.acap.2014.05.016",""
"1876-2859","green","10.1016/j.acap.2014.05.030",""
"1876-2859","green","10.1016/j.acap.2014.05.040",""
"1876-2859","green","10.1016/j.acap.2014.05.032",""
"1876-2859","green","10.1016/j.acap.2014.05.035",""
"1876-2859","green","10.1016/j.acap.2014.05.017",""
"1876-2859","green","10.1016/j.acap.2014.05.037",""
"1876-2859","green","10.1016/j.acap.2014.05.022",""
"1876-2859","green","10.1016/j.acap.2014.05.039",""
"1876-2859","green","10.1016/j.acap.2014.05.020",""
"1876-2859","green","10.1016/j.acap.2014.05.041",""
"1876-2859","green","10.1016/j.acap.2014.05.025",""
"1876-2859","green","10.1016/j.acap.2014.05.026",""
"1876-2859","green","10.1016/j.acap.2014.05.036",""
"1876-2859","green","10.1016/j.acap.2014.03.009",""
"1876-2859","green","10.1016/j.acap.2014.05.024",""
"1876-2859","green","10.1016/s1876-2859(14)00192-2",""
"1876-2859","green","10.1016/j.acap.2014.05.028",""
"1876-2859","green","10.1016/j.acap.2014.05.027",""
"1876-2859","green","10.1016/j.acap.2014.05.013",""
"1876-2859","green","10.1016/j.acap.2014.04.004",""
"1876-2859","green","10.1016/j.acap.2014.04.006",""
"1876-2859","green","10.1016/j.acap.2014.05.015",""
"1876-2859","green","10.1016/j.acap.2014.03.003",""
"1876-2859","green","10.1016/j.acap.2014.01.002",""
"1876-2859","green","10.1016/s1876-2859(14)00191-0",""
"1876-2859","green","10.1016/j.acap.2014.05.023",""
"1876-2859","green","10.1016/j.acap.2014.05.046",""
"1876-2859","green","10.1016/j.acap.2014.03.002",""
"1876-2859","green","10.1016/j.acap.2014.05.048",""
"1876-2859","green","10.1016/j.acap.2014.05.050",""
"1876-2859","green","10.1016/j.acap.2014.03.015",""
"1876-2859","green","10.1016/j.acap.2014.05.031",""
"1876-2859","green","10.1016/j.acap.2014.05.034",""
"1876-2859","green","10.1016/j.acap.2014.05.033",""
"1876-2859","green","10.1016/j.acap.2014.05.002",""
"1876-2859","green","10.1016/j.acap.2014.05.003",""
"1876-2859","green","10.1016/j.acap.2014.03.008",""
"1876-2859","green","10.1016/j.acap.2014.03.012",""
"1876-2859","green","10.1016/j.acap.2014.04.001",""
"1876-2859","green","10.1016/j.acap.2015.03.010",""
"1876-2859","green","10.1016/s1876-2859(15)00348-4",""
"1876-2859","green","10.1016/s1876-2859(15)00347-2",""
"1876-2859","green","10.1016/j.acap.2015.05.006",""
"1876-2859","green","10.1016/j.acap.2015.06.007",""
"1876-2859","green","10.1016/j.acap.2015.06.010",""
"1876-2859","green","10.1016/j.acap.2015.08.005",""
"1876-2859","green","10.1016/j.acap.2015.09.002",""
"1876-2859","green","10.1016/j.acap.2015.12.014",""
"1876-2859","green","10.1016/j.acap.2015.08.013",""
"1876-2859","green","10.1016/j.acap.2015.10.003",""
"1876-2859","green","10.1016/j.acap.2015.10.002",""
"1876-2859","green","10.1016/j.acap.2015.10.005",""
